Instancia,Opt_Veh,Opt_Dist,Run1_Veh,Run1_Dist,Run2_Veh,Run2_Dist,Run3_Veh,Run3_Dist,Run4_Veh,Run4_Dist,Run5_Veh,Run5_Dist,Run6_Veh,Run6_Dist,Run7_Veh,Run7_Dist,Run8_Veh,Run8_Dist,Run9_Veh,Run9_Dist,Run10_Veh,Run10_Dist,Best_Veh,Avg_Veh,Std_Veh,Best_Dist,Avg_Dist,Std_Dist,Veh_GAP,Dist_GAP,Unified_GAP,Avg_Time(s)
C101,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,8.90
C102,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,10.87
C103,10.0,828.06,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,828.07,10,10.00,0.000,828.07,828.07,0.00,0.00,0.00,0.00,12.81
C104,10.0,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,824.78,10,10.00,0.000,824.78,824.78,0.00,0.00,-0.00,-0.00,12.50
C105,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,9.18
C106,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,9.64
C107,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,9.50
C108,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,10.23
C109,10.0,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,828.94,10,10.00,0.000,828.94,828.94,0.00,0.00,-0.00,-0.00,10.89
C201,3.0,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00,9.60
C202,3.0,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,591.56,3,3.00,0.000,591.56,591.56,0.00,0.00,-0.00,-0.00,11.82
C203,3.0,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,591.17,3,3.00,0.000,591.17,591.17,0.00,0.00,0.00,0.00,13.47
C204,3.0,590.6,3,590.60,3,590.60,3,591.17,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,590.60,3,3.00,0.000,590.60,590.66,0.17,0.00,0.01,0.01,14.33
C205,3.0,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,588.88,3,3.00,0.000,588.88,588.88,0.00,0.00,-0.00,-0.00,8.22
C206,3.0,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,588.49,3,3.00,0.000,588.49,588.49,0.00,0.00,0.00,0.00,8.85
C207,3.0,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,588.29,3,3.00,0.000,588.29,588.29,0.00,0.00,-0.00,-0.00,9.31
C208,3.0,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,588.32,3,3.00,0.000,588.32,588.32,0.00,0.00,0.00,0.00,9.12
R101,19.0,1650.8,19,1651.01,19,1651.01,19,1650.80,19,1650.80,19,1650.80,19,1650.80,19,1650.80,19,1650.80,19,1651.01,19,1650.80,19,19.00,0.000,1650.80,1650.86,0.10,0.00,0.00,0.00,12.05
R102,17.0,1486.12,17,1488.88,17,1486.12,17,1486.12,17,1487.31,17,1487.31,17,1487.31,17,1487.31,17,1487.31,17,1486.12,17,1486.12,17,17.00,0.000,1486.12,1486.99,0.84,0.00,0.06,0.06,14.86
R103,13.0,1292.68,14,1213.62,14,1213.73,13,1295.57,14,1213.62,14,1213.73,13,1292.68,14,1213.62,14,1213.73,13,1294.64,14,1213.62,13,13.70,0.458,1292.68,1237.86,36.96,0.70,-4.24,65.76,14.30
R104,9.0,1007.31,10,981.23,10,982.55,10,981.23,10,984.42,10,982.55,10,982.55,10,999.93,10,981.23,10,981.23,10,981.23,10,10.00,0.000,981.23,983.82,5.46,1.00,-2.33,97.67,13.93
R105,14.0,1377.11,14,1377.11,14,1387.14,14,1377.11,14,1385.73,14,1377.63,14,1387.14,14,1378.88,14,1381.37,14,1378.78,14,1378.78,14,14.00,0.000,1377.11,1380.97,3.92,0.00,0.28,0.28,10.97
R106,12.0,1252.03,12,1259.34,12,1270.06,12,1264.14,12,1260.36,12,1262.86,12,1261.67,12,1263.61,12,1261.06,12,1261.63,12,1259.71,12,12.00,0.000,1259.34,1262.44,2.95,0.00,0.83,0.83,14.20
R107,10.0,1104.66,11,1076.26,11,1076.78,11,1075.14,11,1075.30,11,1073.01,11,1075.11,11,1075.51,11,1076.10,11,1075.53,11,1080.46,11,11.00,0.000,1073.01,1075.92,1.79,1.00,-2.60,97.40,13.73
R108,9.0,960.88,9,966.76,10,945.68,10,949.61,10,947.11,10,941.08,9,964.67,10,952.56,10,946.76,10,953.25,10,948.53,9,9.80,0.400,964.67,951.60,7.79,0.80,-0.97,79.03,13.56
R109,11.0,1194.73,12,1153.02,12,1154.55,12,1154.55,12,1154.55,12,1153.89,12,1153.02,12,1155.69,12,1167.90,12,1164.08,12,1153.89,12,12.00,0.000,1153.02,1156.51,4.87,1.00,-3.20,96.80,10.65
R110,10.0,1118.84,11,1114.64,11,1085.16,11,1081.86,11,1085.93,11,1103.25,11,1103.57,11,1084.40,11,1087.82,11,1094.87,11,1109.77,11,11.00,0.000,1081.86,1095.13,11.23,1.00,-2.12,97.88,12.99
R111,10.0,1096.73,11,1054.23,11,1054.22,11,1054.22,11,1059.15,11,1060.97,11,1062.06,11,1054.23,11,1062.58,10,1117.96,11,1054.23,10,10.90,0.300,1117.96,1063.38,18.50,0.90,-3.04,86.96,13.21
R112,9.0,982.14,10,968.35,10,961.93,10,964.95,10,962.99,10,955.75,10,967.21,10,965.88,10,964.95,10,962.44,10,953.63,10,10.00,0.000,953.63,962.81,4.51,1.00,-1.97,98.03,13.58
R201,4.0,1252.37,4,1265.04,4,1256.23,4,1265.93,4,1258.79,4,1258.50,4,1253.23,4,1276.63,4,1256.58,4,1253.23,4,1253.23,4,4.00,0.000,1253.23,1259.74,7.10,0.00,0.59,0.59,9.63
R202,3.0,1191.7,4,1086.06,4,1087.81,4,1084.38,4,1099.33,4,1087.52,4,1082.46,4,1090.19,4,1084.38,4,1084.23,4,1098.80,4,4.00,0.000,1082.46,1088.52,5.68,1.00,-8.66,91.34,12.04
R203,3.0,939.5,3,952.38,3,947.35,3,946.62,3,979.34,3,960.21,3,943.50,3,941.77,3,952.34,3,958.25,3,948.50,3,3.00,0.000,941.77,953.03,10.41,0.00,1.44,1.44,13.03
R204,2.0,825.52,3,764.58,3,751.07,3,749.42,3,752.29,3,756.54,3,762.71,3,751.07,3,761.82,3,752.73,3,764.96,3,3.00,0.000,749.42,756.72,5.87,1.00,-8.33,91.67,14.15
R205,3.0,994.43,3,1042.95,3,1027.88,3,1029.59,3,1016.89,3,1001.93,3,1001.93,3,1026.86,3,1016.89,3,1022.44,3,1042.53,3,3.00,0.000,1001.93,1022.99,13.51,0.00,2.87,2.87,9.83
R206,3.0,906.14,3,936.00,3,930.78,3,931.68,3,913.18,3,930.58,3,931.84,3,912.75,3,930.43,3,912.75,3,915.19,3,3.00,0.000,912.75,924.52,9.16,0.00,2.03,2.03,11.65
R207,2.0,890.61,3,843.84,3,843.08,3,832.36,3,822.49,3,813.74,3,835.91,3,842.84,3,823.42,3,812.75,3,835.98,3,3.00,0.000,812.75,830.64,11.23,1.00,-6.73,93.27,13.85
R208,2.0,726.82,2,742.55,2,726.82,2,727.69,2,730.02,2,740.15,3,717.37,2,736.64,2,752.39,2,726.82,2,729.04,2,2.10,0.300,726.82,732.95,9.51,0.10,0.84,10.84,13.09
R209,3.0,909.16,3,950.11,3,949.16,3,943.33,3,945.13,3,928.91,3,942.89,3,940.37,3,938.09,3,942.85,3,938.54,3,3.00,0.000,928.91,941.94,5.75,0.00,3.61,3.61,11.59
R210,3.0,939.37,3,961.86,3,968.49,3,951.00,3,968.75,3,957.62,3,982.66,3,973.84,3,966.48,3,957.82,3,967.81,3,3.00,0.000,951.00,965.63,8.57,0.00,2.80,2.80,11.93
R211,2.0,885.71,3,808.75,3,801.74,3,773.91,3,789.44,3,786.57,3,813.67,3,768.18,3,785.54,3,803.32,3,817.88,3,3.00,0.000,768.18,794.90,15.91,1.00,-10.25,89.75,12.57
RC101,14.0,1696.95,15,1631.34,15,1635.11,15,1635.11,15,1635.11,15,1631.34,15,1623.58,15,1631.34,15,1631.34,15,1631.34,15,1623.58,15,15.00,0.000,1623.58,1630.92,4.02,1.00,-3.89,96.11,10.14
RC102,12.0,1554.75,13,1495.59,13,1502.89,13,1477.64,13,1528.40,14,1489.30,13,1477.64,13,1486.52,13,1486.52,13,1484.97,13,1477.64,13,13.10,0.300,1477.64,1490.71,14.75,1.10,-4.12,105.88,12.46
RC103,11.0,1261.67,11,1329.19,11,1275.42,11,1262.02,11,1284.16,11,1322.41,11,1266.71,11,1277.00,11,1284.67,11,1329.07,11,1316.76,11,11.00,0.000,1262.02,1294.74,25.25,0.00,2.62,2.62,13.12
RC104,10.0,1135.48,10,1156.57,10,1138.34,10,1164.88,10,1135.52,10,1139.50,10,1141.05,10,1140.00,10,1156.57,10,1143.12,10,1139.50,10,10.00,0.000,1135.52,1145.50,9.48,0.00,0.88,0.88,12.21
RC105,13.0,1629.44,14,1542.27,14,1552.05,14,1540.18,14,1553.08,14,1542.29,14,1552.05,14,1542.29,14,1540.21,14,1552.05,14,1552.05,14,14.00,0.000,1540.18,1546.85,5.46,1.00,-5.07,94.93,11.99
RC106,11.0,1424.73,12,1385.92,12,1384.81,13,1388.10,12,1390.59,12,1388.90,12,1401.64,12,1386.79,12,1388.54,12,1399.68,12,1377.43,12,12.10,0.300,1377.43,1389.24,6.65,1.10,-2.49,107.51,9.89
RC107,11.0,1230.48,11,1273.74,11,1233.21,11,1240.76,11,1249.38,11,1238.03,11,1239.10,12,1238.37,11,1239.89,11,1247.49,11,1245.24,11,11.10,0.300,1233.21,1244.52,10.77,0.10,1.14,11.14,11.27
RC108,10.0,1139.82,10,1147.69,11,1134.85,11,1134.85,11,1121.26,10,1155.88,11,1117.53,11,1118.13,11,1138.48,10,1150.10,10,1140.42,10,10.60,0.490,1140.42,1135.92,12.79,0.60,-0.34,59.66,12.43
RC201,4.0,1406.94,4,1406.94,4,1493.81,4,1428.11,4,1425.49,4,1424.95,4,1508.13,4,1425.88,4,1433.20,4,1440.55,4,1419.08,4,4.00,0.000,1406.94,1440.61,31.45,0.00,2.39,2.39,9.39
RC202,3.0,1365.65,4,1183.82,4,1187.04,4,1192.19,4,1222.68,4,1166.07,4,1162.80,4,1180.93,4,1161.29,4,1199.19,4,1226.71,4,4.00,0.000,1161.29,1188.27,21.77,1.00,-12.99,87.01,11.53
RC203,3.0,1049.62,4,967.81,3,1073.43,3,1071.78,4,960.41,3,1080.40,4,945.08,3,1089.20,3,1063.73,3,1078.81,4,961.86,3,3.40,0.490,1063.73,1029.25,58.10,0.40,-1.94,38.06,13.12
RC204,3.0,798.46,3,803.77,3,816.35,3,816.38,3,843.96,3,834.45,3,800.40,3,798.56,3,803.93,3,798.56,3,798.46,3,3.00,0.000,798.46,811.48,15.40,0.00,1.63,1.63,13.72
RC205,4.0,1297.65,4,1390.54,4,1343.09,4,1344.21,4,1318.07,4,1339.38,4,1305.97,4,1361.24,4,1348.03,4,1346.35,4,1341.27,4,4.00,0.000,1305.97,1343.82,21.52,0.00,3.56,3.56,11.03
RC206,3.0,1146.32,4,1119.65,3,1156.26,4,1113.32,3,1146.32,4,1089.95,4,1118.06,4,1105.31,3,1242.49,3,1153.69,4,1081.83,3,3.60,0.490,1146.32,1132.69,43.77,0.60,-1.19,58.81,10.19
RC207,3.0,1061.14,3,1094.55,3,1135.93,4,1021.83,4,1007.78,3,1089.46,4,1021.86,4,1007.23,4,1010.90,4,1014.62,4,1036.33,3,3.70,0.458,1089.46,1044.05,43.29,0.70,-1.61,68.39,12.08
RC208,3.0,828.14,3,858.01,3,860.21,3,833.99,3,860.98,3,852.86,3,841.99,3,846.57,3,862.68,3,865.85,3,839.21,3,3.00,0.000,833.99,852.24,10.53,0.00,2.91,2.91,12.64
